Recipe Name,Ingredients,Instructions
Methi Malai Matar Variant 122,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Veg Kurma Variant 123,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Chicken 65 Variant 124,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Sabudana Khichdi Variant 125,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Malai Kofta Variant 126,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paratha Variant 127,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Momos Variant 128,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Tamarind Rice Variant 129,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Gajar Halwa Variant 130,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Veg Kurma Variant 131,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Tandoori Chicken Variant 132,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Aloo Matar Variant 133,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Gajar Halwa Variant 134,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Gajar Halwa Variant 135,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Poori Bhaji Variant 136,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Pesarattu Variant 137,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Vegetable Cutlet Variant 138,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Veg Manchurian Variant 139,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Mutton Korma Variant 140,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Dal Makhani Variant 141,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Vegetable Soup Variant 142,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Dal Makhani Variant 143,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Paneer Tikka Variant 144,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Crab Masala Variant 145,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Momos Variant 146,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Paneer Fried Rice Variant 147,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Hakka Noodles Variant 148,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Momos Variant 149,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Vegetable Cutlet Variant 150,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Paratha Variant 151,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Chicken Tikka Variant 152,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Veg Manchurian Variant 153,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Vegetable Soup Variant 154,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Veg Kurma Variant 155,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Fish Fry Variant 156,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Chicken Tikka Variant 157,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Tomato Soup Variant 158,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Prawn Curry Variant 159,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Rasgulla Variant 160,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Poori Bhaji Variant 161,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 162,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Lemon Rice Variant 163,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Paneer Fried Rice Variant 164,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Dal Makhani Variant 165,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Paneer Fried Rice Variant 166,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Fish Fry Variant 167,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Moong Dal Halwa Variant 168,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Tikka Variant 169,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chapati Variant 170,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Fish Fry Variant 171,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Jeera Rice Variant 172,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Vegetable Cutlet Variant 173,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Paneer Fried Rice Variant 174,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Tomato Soup Variant 175,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Aloo Matar Variant 176,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Moong Dal Halwa Variant 177,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 178,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 179,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Sabudana Khichdi Variant 180,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Jeera Rice Variant 181,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Malai Kofta Variant 182,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Egg Fried Rice Variant 183,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Rasgulla Variant 184,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Paratha Variant 185,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Methi Malai Matar Variant 186,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Egg Curry Dry Variant 187,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Sooji Halwa Variant 188,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Poori Bhaji Variant 189,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Jeera Rice Variant 190,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Tamarind Rice Variant 191,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Gajar Halwa Variant 192,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Prawn Curry Variant 193,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Tomato Soup Variant 194,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paneer Tikka Variant 195,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paratha Variant 196,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Tomato Soup Variant 197,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Jeera Rice Variant 198,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Paneer Fried Rice Variant 199,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Aloo Matar Variant 200,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Mutton Korma Variant 201,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chicken 65 Variant 202,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Moong Dal Halwa Variant 203,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 204,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Poori Bhaji Variant 205,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Aloo Matar Variant 206,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Methi Malai Matar Variant 207,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chapati Variant 208,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Chicken 65 Variant 209,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Vegetable Cutlet Variant 210,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Aloo Matar Variant 211,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Sabudana Khichdi Variant 212,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Tandoori Chicken Variant 213,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Fish Fry Variant 214,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Mushroom Curry Variant 215,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Veg Kurma Variant 216,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Lemon Rice Variant 217,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 218,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Pesarattu Variant 219,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Chili Paneer Variant 220,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Fish Fry Variant 221,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Gajar Halwa Variant 222,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Chicken Momos Variant 223,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Veg Momos Variant 224,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Dal Makhani Variant 225,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Paratha Variant 226,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Lemon Rice Variant 227,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Chapati Variant 228,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Tamarind Rice Variant 229,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Veg Kurma Variant 230,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Vegetable Soup Variant 231,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Sabudana Khichdi Variant 232,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Hakka Noodles Variant 233,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Jeera Rice Variant 234,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Veg Kurma Variant 235,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Methi Malai Matar Variant 236,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Mutton Korma Variant 237,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Chili Paneer Variant 238,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Tamarind Rice Variant 239,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Jeera Rice Variant 240,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Sabudana Khichdi Variant 241,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Dal Makhani Variant 242,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Dal Makhani Variant 243,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Moong Dal Halwa Variant 244,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Moong Dal Halwa Variant 245,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Mushroom Curry Variant 246,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Pesarattu Variant 247,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Prawn Curry Variant 248,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Paneer Fried Rice Variant 249,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Crab Masala Variant 250,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Egg Fried Rice Variant 251,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Jeera Rice Variant 252,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Veg Momos Variant 253,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Gajar Halwa Variant 254,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Prawn Curry Variant 255,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Tomato Soup Variant 256,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Lemon Rice Variant 257,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chapati Variant 258,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Tandoori Chicken Variant 259,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Sooji Halwa Variant 260,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Sooji Halwa Variant 261,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Malai Kofta Variant 262,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Kashmiri Pulao Variant 263,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Jeera Rice Variant 264,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Curd Rice Variant 265,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Egg Curry Dry Variant 266,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Rasgulla Variant 267,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Chicken Tikka Variant 268,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Veg Momos Variant 269,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Egg Curry Dry Variant 270,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
